_181500792,120
_181500475,120
_181500762,120
_181500801,120
_181500017,120
_181500486,120
_181500829,120
_181500292,120
_181500767,120
_181500781,120
_181500498,120
_181500410,120
_181500562,120
_181500413,120
_181500032,120
_181500703,120
_181500555,120
_181500581,120
_181500272,120
_181500678,120
_181500422,120
_181500554,120
_181500529,120
_181500124,120
jai_xvi,120
_181500394,120
_181500336,120
_181500507,112.73
_181500417,107.14
_181500423,100
_181500625,100
_181500611,100
_181500783,100
_181500627,100
_181500370,100
_181500066,100
_181500598,100
_181500524,100
_181500343,92.73
_181500528,87.27
_181500192,87.14
_181500411,80
_181500125,80
_181500714,80
_181500040,80
_181500606,80
_181500270,80
_181500303,80
_181500053,80
_181500096,80
_181500495,80
_181500608,80
_181500376,80
_181500135,60
[deleted],60
_181500289,60
[deleted],60
_181500408,60
_181500563,47.27
_181500144,40
deeksha_mishra_1,40
_181500059,40
_181500841,20
its_rishabh624,0
_181500824,120
_181500587,120
_181500668,120
_181500654,120
_181500295,120
_181500363,120
_181500582,120
_181500721,120
_181500492,120
_181500609,120
_181500019,120
_181500298,120
_181500342,120
_181500708,120
_191599010,120
_181500508,120
_181500458,120
_181500036,120
_181500313,120
_181500624,120
_181500320,120
_181500160,120
_181500768,120
_181500774,120
_181500632,120
_181500206,120
_181500749,120
_181500653,120
_181500392,120
_181500509,120
_181500732,120
abhishekjais22,120
_181500242,107.14
_181500378,100
_181500202,100
_181500198,100
_181500414,100
_181500169,100
_181500356,100
_181500669,100
_181500047,100
_181500382,100
_181500594,100
_181500835,100
_181500170,80
_181500056,80
_181500615,80
_181500261,80
BhanuMaxias,80
_181500745,60
_181500148,60
_181500126,60
[deleted],60
_181500798,60
_181500809,60
_181500372,60
_181500219,60
_181500566,20
_181500217,20
pandey143sonu,0
_181500395,0
_181500497,180
_181500641,180
_181500760,172
_181500793,172
_181500569,172
_181500590,172
_181500315,168.57
_181500373,167.14
_181500311,160
_181500346,160
_181500337,160
_181500830,160
_181500238,160
_181500696,160
_181500307,160
