_181500676,120
_181500080,120
_181500207,120
_181500782,120
_181500538,120
_181500015,120
_181500814,120
_181500288,120
_181500216,120
_181500293,120
_181500256,120
_181500735,120
_181500140,120
_181500158,120
_181500052,120
_181500034,120
_181500149,118
_181500355,100
_181500546,100
_181500280,100
_181500371,100
palash_goyal_cs1,100
_181500215,100
_181500751,80
_181500098,80
_181500196,80
_181500368,80
_181500324,80
_181500706,80
_181500235,80
_181500249,60
aman_181500071,60
_181500061,60
_181500487,60
_181500031,60
_181500691,60
pranav_singh_cs1,60
_181500069,52
_181500071,40
nitcet,40
_181500772,40
_181500038,40
_181500599,20
