_181500475,540
_181500703,540
_181500292,540
_181500801,540
_181500829,540
_181500781,540
_181500413,540
_181500272,540
_181500498,540
_181500422,540
_181500529,540
_181500336,540
_181500625,520
_181500423,520
_181500370,520
_181500066,520
_181500598,520
_181500524,520
_181500678,510
_181500554,510
_181500555,510
_181500410,510
jai_xvi,510
_181500486,507.95
_181500627,495.45
_181500762,485.45
_181500562,480
_181500408,480
_181500394,480
_181500783,478.75
_181500507,472.73
_181500411,470
_181500714,470
_181500563,467.27
_181500417,467.14
_181500017,450
_181500192,447.14
_181500289,441
_181500270,440
_181500125,440
_181500303,440
_181500040,440
_181500495,440
_181500376,440
_181500608,440
_181500032,420
_181500124,420
_181500606,410
_181500053,410
_181500611,405.45
_181500201,400
_181500528,387.27
_181500144,370
_181500059,306.25
_181500135,300
_181500424,270
_181500343,199.87
_181500666,60
[deleted],60
[deleted],60
_181500841,20
its_rishabh624,0
_181500668,480
_181500732,480
_181500298,471.82
_181500295,450
_181500313,450
_181500654,450
_181500492,420
_181500509,420
_181500170,407
_181500378,402.73
_181500047,400
_181500835,400
[deleted],390
_181500206,390
_181500372,387
_181500363,387
_181500392,387
_181500708,387
_181500615,380
_181500242,377.14
_181500587,369.86
_181500382,367
abhishekjais22,360
_181500582,360
_181500624,360
_181500320,360
_181500632,360
_191599010,360
_181500745,357
_181500036,357
_181500169,340
_181500414,340
_181500356,337
_181500508,330
_181500609,330
_181500774,330
_181500749,330
_181500160,330
_181500768,330
_181500653,330
_181500458,330
_181500261,320
_181500202,310
_181500594,310
_181500824,300
_181500126,300
_181500148,300
_181500342,299.73
_181500809,297
_181500217,290
BhanuMaxias,287
_181500198,271
_181500395,270
_181500019,240
_181500669,238
_181500056,227
_181500798,207
_181500219,180
_181500340,150
_181500566,140
_181500386,111
[deleted],60
_181500721,60
The_pandey_ji,0
_181500497,660
_181500569,652
_181500590,652
_181500337,640
_181500377,640
_181500294,640
_181500397,640
_181500077,640
_181500793,637
_181500346,636.25
_181500704,636.25
_181500150,627.14
_181500421,620
_181500315,618.57
_181500311,610
_181500307,610
_181500803,610
_181500330,610
_181500403,610
_181500401,610
_181500091,610
_181500819,610
_181500696,593.64
_181500760,592
_181500523,590
_181500302,590
_181500583,590
_181500482,590
_181500441,590
_181500830,580
_181500117,580
_181500104,580
_181500728,580
_181500210,580
_181500222,577
_181500641,570
_181500438,570
Mohit181500390,567
_181500738,549
_181500109,548
_181500643,547
_181500136,540
_181500675,540
_181500225,540
_181500072,538.57
_181500339,537.25
_181500190,537.14
_181500312,537.14
_181500799,530
_181500182,530
_181500588,530
_181500151,530
_181500373,527.14
_191599009,520
_181500326,490
_181500081,480
_181500341,470
_181500054,470
_181500364,445.45
_181500238,430
_181500825,416.86
_181500737,387.14
_181500559,367.14
sajalsijariya,360
_181500621,360
_181500459,335.45
_181500212,330
shubham_saraswat,210
_181500795,170
ashishag639,90
_181500390,60
_181500283,30
_181500291,30
coderkabh,0
_181500405,640
_181500820,626.25
_181500589,626
_181500823,615.45
_181500519,610
_181500626,582.45
_181500172,580
_181500637,577
_181500512,570
_181500527,550
_181500145,550
_181500177,550
_181500650,540
_181500218,537
_181500075,526.25
_181500385,520
_181500074,518.25
_181500484,510
_181500354,507.14
_181500778,507
_181500448,500
_181500381,496
_181500327,490
_181500195,480
_181500128,480
_181500831,480
_181500400,477
_181500549,467
_181500506,455
_181500764,450
_181500765,450
_181500832,441.42
_181500304,440
_181500060,430
