_181500475,420
_181500801,420
_181500703,420
_181500829,420
_181500292,420
_181500781,420
_181500272,420
_181500562,420
_181500413,420
_181500678,420
_181500554,420
_181500498,420
_181500555,420
_181500422,420
_181500529,420
_181500336,420
_181500507,412.73
_181500486,412.5
_181500625,400
_181500627,400
_181500423,400
_181500370,400
_181500066,400
_181500598,400
_181500524,400
_181500762,390
_181500017,390
_181500410,390
_181500394,390
jai_xvi,390
_181500783,388.75
_181500714,380
_181500611,370
_181500124,360
_181500289,360
_181500408,360
_181500192,357.14
_181500411,350
_181500270,350
_181500606,350
_181500125,350
_181500040,350
_181500303,350
_181500495,350
_181500376,350
_181500608,350
_181500563,347.27
_181500417,347.14
_181500032,330
_181500053,320
_181500059,306.25
_181500135,300
_181500528,297.27
_181500201,280
_181500144,280
_181500343,199.87
_181500424,180
_181500666,60
[deleted],60
[deleted],60
_181500841,20
its_rishabh624,0
_181500295,360
_181500313,360
_181500668,360
_181500298,360
_181500721,360
_181500732,360
_181500378,340
_181500654,330
_181500509,330
_181500170,320
_181500047,310
_181500036,300
abhishekjais22,300
_181500363,300
_181500774,300
_181500372,300
_181500609,300
_181500492,300
_181500320,300
_181500392,300
_181500160,300
_181500653,300
_181500206,300
_181500242,287.14
_181500587,282.86
_181500382,280
_181500835,280
_181500745,270
_181500508,270
_181500582,270
_191599010,270
_181500632,270
_181500708,270
_181500458,270
_181500615,260
_181500202,250
_181500414,250
_181500356,250
_181500824,240
_181500148,240
_181500126,240
_181500624,240
_181500749,240
_181500768,240
_181500669,238
_181500169,220
_181500198,220
_181500594,220
_181500342,212.73
_181500019,210
_181500809,210
_181500261,200
BhanuMaxias,200
_181500217,200
_181500395,180
_181500219,180
_181500056,140
_181500798,120
_181500386,90
_181500566,80
[deleted],60
_181500340,60
pandey143sonu,0
_181500497,540
_181500569,532
_181500590,532
_181500315,528.57
_181500830,520
_181500337,520
_181500803,520
_181500117,520
_181500377,520
_181500294,520
_181500330,520
_181500397,520
_181500091,520
_181500403,520
_181500077,520
_181500401,520
_181500793,517
_181500346,516.25
_181500704,516.25
_181500150,507.14
_181500302,500
_181500799,500
_181500583,500
_181500421,500
_181500441,500
_181500311,490
_181500307,490
_181500696,490
_181500104,490
_181500728,490
_181500819,490
_181500210,490
_181500641,480
_181500738,480
_181500190,477.14
_181500760,472
_181500523,470
_181500482,470
_181500373,467.14
_181500222,460
_181500109,458
_181500643,457
_181500339,456.25
Mohit181500390,450
_181500438,450
_181500136,450
_181500225,450
_181500072,448.57
_181500312,447.14
_181500182,440
_181500588,440
_191599009,430
_181500675,420
_181500081,420
_181500151,410
_181500326,400
_181500737,387.14
_181500364,385.45
_181500341,380
_181500054,380
_181500238,370
_181500825,362.86
_181500559,307.14
_181500621,300
_181500459,275.45
sajalsijariya,240
_181500212,240
shubham_saraswat,210
ashishag639,90
_181500795,80
_181500390,60
_181500283,30
_181500291,30
coderkabh,0
_181500820,536.25
_181500589,536
_181500405,520
_181500823,520
_181500519,520
_181500448,500
_181500626,490
_181500172,490
_181500637,490
_181500512,480
_181500527,460
_181500145,460
_181500177,460
_181500650,450
_181500764,450
_181500218,450
_181500128,450
_181500484,450
_181500075,436.25
_181500074,431.25
_181500385,430
_181500381,430
_181500778,420
_181500354,417.14
_181500549,410
_181500304,410
_181500060,400
_181500327,400
_181500765,390
_181500195,390
_181500831,390
_181500400,387
_181500506,365
_181500281,364
_181500832,351.42
_181500309,330
_181500603,210
_181500184,60
_181500265,40
_181500785,480
_181500366,476.25
_181500552,472.25
_181500713,456.25
_181500539,456.25
_181500727,456.25
_181500471,456.25
_181500755,456.25
_181500142,452.5
_181500050,436.25
_181500118,436.25
_181500602,436.25
_181500426,420
_181500759,420
_181500133,416.25
_181500724,416.25
_181500754,416.25
_181500725,416.25
_181500746,416.25
_181500051,409.14
_181500412,406.25
_181500640,401.25
_181500692,401.25
_181500596,400
_181500301,400
_181500630,398.75
